TestItem,ParameterName,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit,Condition
SN_,SN,string,AAA;BBB;DLXX0000AAAA,,,,
Diag_Version,Diag_Version,string,000111,,,,
Accel_Only_Test,accel_selftest_x_pos,,9216,3072,,,
Accel_Only_Test,accel_selftest_y_pos,,8192,2048,,,
Accel_Only_Test,accel_selftest_z_pos,,8192,2048,,,
Accel_Only_Test,accel_selftest_x_neg,,9216,3072,,,
Accel_Only_Test,accel_selftest_y_neg,,8192,2048,,,
Accel_Only_Test,accel_selftest_z_neg,,8192,2048,,,
Accel_Only_Test,accel_selftest_x_symerr,,3840,0,,,
Accel_Only_Test,accel_selftest_y_symerr,,3840,0,,,
Accel_Only_Test,accel_selftest_z_symerr,,3840,0,,,
accel_only_test_sec,accel_only_average_x,g,0.118,-0.118,,,
accel_only_test_sec,accel_only_average_y,g,0.118,-0.118,,,
accel_only_test_sec,accel_only_average_z,g,1.1,0.9,,,
accel_only_test_sec,accel_only_std_x,g-rms,0.05,0.00001,,,
accel_only_test_sec,accel_only_std_y,g-rms,0.05,0.00001,,,
accel_only_test_sec,accel_only_std_z,g-rms,0.05,0.00001,,,
accel_only_test_sec,accel_only_odr,Hz,110,90,,,
accel_gyro_combo_mode_test,accel_normal_average_x,g,0.118,-0.118,,,
accel_gyro_combo_mode_test,accel_normal_average_y,g,0.118,-0.118,,,
accel_gyro_combo_mode_test,accel_normal_average_z,g,1.1,0.9,,,
accel_gyro_combo_mode_test,accel_normal_std_x,g-rms,0.05,0.00001,,,
accel_gyro_combo_mode_test,accel_normal_std_y,g-rms,0.05,0.00001,,,
accel_gyro_combo_mode_test,accel_normal_std_z,g-rms,0.05,0.00001,,,
accel_gyro_combo_mode_test,accel_normal_odr,Hz,220,180,,,
accel_gyro_combo_mode_test,gyro_normal_average_x,dps,25,-25,,,
accel_gyro_combo_mode_test,gyro_normal_average_y,dps,25,-25,,,
accel_gyro_combo_mode_test,gyro_normal_average_z,dps,25,-25,,,
accel_gyro_combo_mode_test,gyro_normal_temp,oC,45,3,,,
accel_gyro_combo_mode_test,gyro_normal_std_x,dps-rms,1,0.00001,,,
accel_gyro_combo_mode_test,gyro_normal_std_y,dps-rms,1,0.00001,,,
accel_gyro_combo_mode_test,gyro_normal_std_z,dps-rms,1,0.00001,,,
accel_gyro_combo_mode_test,gyro_normal_odr,Hz,220,180,,,
Phosphorus_Test,PR_Mfg_ID,,228,228,,,
Phosphorus_Test,PR_Chip_ID,,40,40,,,
Phosphorus_Test,PR_Rev_ID,,0,0,,,
Phosphorus_Test,PR_Trim_Version,,1,1,,,
Phosphorus_Test,PR_Pressure_Average,kPa,105,90,,,
Phosphorus_Test,PR_Pressure_Std,Pa,5,0.01,,,
Phosphorus_Test,PR_Pressure_ODR,Hz,30,20,,,
Phosphorus_Test,PR_Temperature_Average,oC,45,15,,,
Phosphorus_Test,PR_Temperature_Std,oC,0.2,0,,,
Smokey_PCIe_EYE,BB_Vertical_Opening,mV,700,120,,,
Smokey_PCIe_EYE,BB_Horizontal_Opening,uI,1,0.32,,,
Smokey_PCIe_EYE,WIFI_Vertical_Opening,mV,700,120,,,
Smokey_PCIe_EYE,WIFI_Horizontal_Opening,uI,1,0.32,,,
Smokey_PCIe_EYE,S5EtoAP_Vertical_Opening,mV,700,15,,,
Smokey_PCIe_EYE,S5EtoAP_Horizontal_Opening,uI,1,0.3,,,
Smokey_PCIe_EYE,APtoS5E_Vertical_Opening,mV,700,15,,,
Smokey_PCIe_EYE,APtoS5E_Horizontal_Opening,uI,1,0.3,,,
Smokey_PCIe_EYE_Sec,FL1100_Vertical_Opening,mV,700,120,,,
Smokey_PCIe_EYE_Sec,FL1100_Horizontal_Opening,uI,1,0.32,,,
ANS_health_check,9_Smart_media_errors,,0,0,,,
ANS_health_check,10_Smart_Critical_Warnings,,0,0,,,
ANS_health_check,704_Number_of_Clog_double_UECC,,0,0,,,
ANS_health_check,802_CLOG_programs_failed,,0,0,,,
ANS_health_check,803_CLOG_read_failed,,0,0,,,
ANS_health_check,804_CLOG_read_erased_page,,0,0,,,
ANS_health_check,813_Raid_reconstruct_success_Internal,,0,0,,,
ANS_health_check,815_Raid_reconstruct_succes_Host,,0,0,,,
ANS_health_check,816_Raid_reconstruct_fail_Host,,0,0,,,
ANS_health_check,1005_Avg_PE_cycle_over_MLC/TLC_bands,,75,0,,,
ANS_health_check,1042_Avg_PE_cycles_over_SLC_bands,,1000,0,,,
ANS_health_check,1917_RMX_failed_die,,0,0,,,
ANS_health_check,108_Raid_LBA_missmatch,,0,0,,,
ANS_health_check,814_Raid_reconstruct_fail_Internal,,0,0,,,
Syscfg_Check-WSKU_sanity_check,Length,,16,16,,,
Syscfg_Check-RFEM_sanity_check,Length,,24,24,,,
GBB_Test,NAND_UNC,,0,0,,,
GBB_Test,NAND_PFAIL,,2,0,,,
GBB_Test,NAND_EFAIL,,2,0,,,
GBB_Test,NAND_PFAIL+NAND_EFAIL,,2,0,,,
VBATT_LV_Short_Check,Read_PPVBAT_Safety,mV,1000,600,,,
VBATT_LV_Short_Check,IBAT_OCP_Fault_Flag,,0,0,,,
VBATT_LV_Short_Check,VBAT_UVP_Fault_Flag,,0,0,,,
VBATT_LV_Short_Check,PPVCCMAIN_UVP_Fault_Flag,,0,0,,,
VBATT_LV_Short_Check,VBAT_OVP_Fault_Flag,,0,0,,,
VBUS_Short_Check,Read_PPVBUS_Safety,mV,5500,1000,,,
VBUS_Short_Check,VBUS_OCP_Fault_Flag,,0,0,,,
VBUS_Short_Check,VBUS_UVP_Fault_Flag,,0,0,,,
VBUS_Short_Check,VBUS_OVP_Fault_Flag,,0,0,,,
VBATT_RESET_CURRENT_Check,Read_PPVBAT_Safety,mV,4410,3700,,,
VBATT_RESET_CURRENT_Check,Read_IBAT_Safety,mA,4410,0,,,
VBATT_RESET_CURRENT_Check,IBAT_OCP_Fault_Flag,,0,0,,,
VBATT_RESET_CURRENT_Check,VBAT_UVP_Fault_Flag,,0,0,,,
VBATT_RESET_CURRENT_Check,PPVCCMAIN_UVP_Fault_Flag,,0,0,,,
VBATT_RESET_CURRENT_Check,VBAT_OVP_Fault_Flag,,0,0,,,
